ID,B101,B102,B103,B104,B105,B106,B201,B202,B203,B204,B205,B206,B301,B302,B303,B304,B305,B306,B401,B402,B403,B404,B405,B406
ST061,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3
ST062,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
ST063,3,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3
ST064,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3
ST065,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,4,3,3,3,3
ST066,3,3,4,3,2,3,3,3,2,3,2,2,1,2,2,1,3,3,2,2,2,2,3,3
ST067,3,3,4,3,4,4,4,4,4,3,3,4,2,3,3,2,2,2,3,3,3,3,3,3
ST068,3,3,3,4,4,4,4,4,3,2,3,3,2,3,3,3,3,2,3,3,3,3,4,2
ST069,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,3,2,2,3,2,2,2,3
ST070,4,3,3,3,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,3,4,3,3,4
ST071,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
ST072,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ST073,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST074,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2
ST075,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST076,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST077,3,3,3,3,4,3,4,3,4,2,3,3,2,3,3,3,3,4,4,2,3,3,3,2
ST078,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2
ST079,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
ST080,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3
ST081,3,4,3,4,4,4,4,4,4,3,3,3,2,2,3,3,3,3,4,4,3,2,3,4
ST082,4,3,4,4,4,4,3,3,3,3,3,4,3,3,4,4,3,3,4,3,3,3,3,3
ST083,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
ST084,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,4,3,4,3
ST085,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4
ST086,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3
ST087,3,3,3,2,4,4,4,3,4,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3
ST088,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
ST089,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ST090,3,3,4,4,4,4,4,4,3,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4
ST091,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
ST092,3,4,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4
ST093,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ST094,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ST095,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
ST096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
ST097,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3
ST098,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4
ST099,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
ST100,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4
