ST001,3,2,4,3,4,3,4,4,1,3,2,4,3,2,4,1,1,4,1,4,3,3,1,3,2,1,4,1,2,1,2,4,1,4,2,4,2,2,2,1
ST002,2,2,4,2,2,1,3,4,1,3,3,1,1,2,3,1,4,3,1,1,3,4,1,2,2,1,4,4,1,2,2,4,3,3,2,1,4,3,3,1
ST003,3,2,4,4,4,3,4,4,1,4,2,1,1,2,3,1,2,4,1,4,3,3,1,3,4,1,4,4,4,2,2,4,1,4,2,3,2,2,2,1
ST004,3,2,4,4,4,3,4,4,1,2,2,4,1,2,3,1,2,4,1,3,2,3,1,3,1,2,4,4,4,2,4,2,3,4,2,4,2,2,2,1
ST005,1,2,4,2,2,3,4,4,1,2,1,4,1,2,4,1,2,4,1,2,3,3,1,3,1,1,4,4,4,2,2,4,1,4,2,4,2,2,2,1
ST006,3,2,4,1,4,3,1,2,1,3,3,2,2,2,3,1,2,4,1,4,4,3,1,4,4,2,3,3,1,2,3,4,1,3,2,4,3,2,3,1
ST007,2,2,2,1,4,3,2,4,1,4,3,2,4,2,3,1,2,1,1,1,1,4,1,3,4,1,3,4,1,2,2,4,1,1,2,1,4,2,3,2
ST008,3,2,2,3,4,3,2,4,1,2,2,4,1,2,1,1,2,4,1,2,3,3,1,3,1,2,4,4,2,2,4,1,4,3,2,3,2,2,2,1
ST009,4,2,4,3,4,1,3,4,1,2,1,4,1,2,4,1,2,4,1,2,3,3,1,3,4,1,4,4,4,2,4,4,1,4,2,4,2,2,2,1
ST010,3,1,4,2,2,3,4,4,1,2,2,4,1,2,3,1,2,4,1,2,3,3,1,3,1,1,4,1,2,4,2,4,1,4,2,4,2,2,2,1
ST011,3,2,4,2,2,3,3,4,1,2,2,4,1,2,3,1,2,4,1,4,3,3,1,3,3,1,4,2,4,2,2,4,1,4,2,4,2,2,2,1
ST012,3,1,4,2,2,3,4,1,1,4,2,4,1,3,4,1,4,3,1,2,3,3,1,3,3,1,4,1,4,2,2,4,1,1,2,4,2,2,2,1
ST013,3,1,4,2,2,4,3,1,2,2,4,1,2,3,1,2,4,1,2,3,3,1,3,3,1,2,4,1,2,4,2,4,1,4,2,4,2,2,2,1
ST014,3,1,4,2,2,3,4,1,1,2,2,4,3,4,4,1,2,3,1,4,3,3,1,3,3,1,3,4,4,2,2,4,1,2,2,4,2,2,2,1
ST015,3,2,4,2,2,3,4,4,1,2,1,4,1,2,3,1,2,4,1,2,3,3,1,3,3,1,4,1,4,2,2,4,1,4,2,4,2,2,2,1
ST016,2,2,4,1,4,3,4,4,1,3,2,4,1,2,3,1,2,4,1,4,3,3,1,3,1,2,4,4,4,2,1,4,1,4,2,4,2,2,2,1
ST017,3,2,4,2,2,3,3,4,1,3,2,4,1,2,4,1,2,4,1,3,4,3,1,3,1,1,3,4,2,2,2,4,1,3,2,3,2,3,2,1
ST018,3,1,4,2,2,3,3,4,1,2,1,2,1,2,1,1,2,4,1,3,3,3,1,3,2,4,4,4,2,1,2,2,3,3,2,4,2,3,2,1
ST019,1,2,2,4,4,3,3,1,1,4,2,4,1,3,2,1,2,4,2,4,2,4,4,3,2,3,4,4,3,1,3,2,3,2,2,2,2,2,3,1
ST020,3,2,4,1,4,3,3,4,1,3,2,4,1,2,3,1,2,4,1,2,3,3,1,3,1,1,4,4,4,2,2,4,1,4,2,3,2,2,2,1
ST021,3,1,4,2,2,1,4,2,1,2,1,4,4,2,3,1,2,4,1,2,3,3,1,3,1,1,4,4,4,2,2,4,1,2,2,4,2,2,2,1
ST022,3,1,3,1,4,3,3,4,1,2,1,4,1,2,3,1,2,4,1,1,2,3,1,2,2,3,2,4,3,2,4,1,4,2,2,1,2,3,2,1
ST023,3,1,3,1,4,3,4,2,1,2,3,1,4,2,2,1,4,3,1,1,2,1,1,3,2,2,3,4,1,3,2,4,3,1,2,3,2,2,3,1
ST024,1,2,1,3,4,3,4,1,1,4,2,4,1,2,2,1,2,2,4,4,1,2,4,4,4,3,2,1,4,2,3,2,3,4,4,3,3,2,4,4
ST025,3,1,4,2,2,3,4,4,1,2,1,4,1,2,4,1,2,4,1,3,3,3,1,3,1,2,4,1,4,2,2,4,1,1,2,4,2,2,2,1
ST026,3,2,4,3,4,3,1,4,1,3,2,4,1,2,3,1,2,2,1,2,3,3,1,3,1,1,4,4,4,2,2,4,1,3,2,4,2,2,2,1
ST027,4,2,4,1,4,3,3,4,1,2,3,4,1,2,4,1,2,4,1,2,2,3,1,3,1,1,3,4,4,2,2,2,1,4,2,4,2,2,2,1
ST028,3,2,4,2,3,3,3,4,1,2,2,4,1,2,3,1,2,4,1,2,3,3,1,3,3,1,4,1,4,2,2,4,1,1,2,4,2,2,2,1
ST029,3,2,4,2,2,3,3,4,1,4,2,4,3,2,4,1,2,4,1,3,3,3,1,3,2,1,4,4,4,2,2,4,1,3,2,4,2,2,2,1
ST030,3,2,2,1,1,3,4,3,1,2,1,4,4,2,2,1,2,3,2,4,2,3,1,3,4,2,4,4,2,2,2,4,1,2,2,2,3,1,3,1
ST031,2,1,4,2,2,3,3,4,1,3,2,2,4,2,2,1,3,1,1,3,3,3,1,3,2,3,2,4,4,3,2,4,1,1,3,4,2,2,3,1
ST032,2,1,4,2,2,3,3,4,2,4,2,4,1,2,3,3,3,4,1,4,3,3,1,3,3,1,4,2,1,4,2,2,1,2,2,4,2,2,2,1
